NaN,30,NaN,90,120,150,180,210,NaN,270,300,NaN,360,NaN,420,450,480,510,540,570,600,630,660,690
NaN,NaN,-499.43,NaN,-749.17,-749.19,-999,-999,-999,-749.19,-999,-999,-999,-999,-999,NaN,-999,-999,-999,-999,-249.57,-999,-749.16,NaN
-499.38,0.25969,NaN,-249.49,NaN,0.21774,-249.57,NaN,-249.62,-249.49,-249.5,NaN,-249.69,NaN,0.33511,-499.39,NaN,-999,-749.17,-499.4,-249.64,-249.61,0.33162,-249.45
NaN,-249.61,NaN,0.26084,-249.6,0.20114,0.27597,NaN,0.26946,-249.64,NaN,0.26148,-249.55,-249.59,-249.39,0.42149,-249.54,-499.44,-499.39,-749.14,-249.53,-499.2,-249.52,-249.38
NaN,0.18918,NaN,0.31512,0.27681,0.20299,-249.63,-249.62,0.33766,-249.59,NaN,0.2146,-249.55,-499.25,-499.29,0.20516,-249.67,-249.71,-249.68,-749.23,-249.46,-249.57,-249.48,-249.56
-249.63,0.19394,-249.63,NaN,0.20514,0.20096,0.19898,NaN,NaN,0.18941,NaN,-499.42,-249.5,0.35396,-249.5,-499.39,-249.64,-499.39,0.27745,-249.42,-249.48,-249.56,-249.57,-249.63
0.21202,0.1575,-249.63,0.19264,0.20043,0.16931,-249.58,-249.59,-249.62,-249.62,-249.59,NaN,-249.57,-249.52,-249.46,0.33729,0.31075,0.31033,0.28879,0.37939,0.33554,-249.5,-499.39,NaN
0.25941,0.15689,-249.61,0.18622,-249.63,0.16673,0.19541,0.19712,0.23773,0.19851,-499.4,-249.6,0.24709,NaN,0.32611,0.23018,0.30824,0.24617,0.29338,0.21424,0.20318,-249.54,-249.47,0.29487
0.33244,0.1524,0.18862,0.19265,0.19347,0.17671,0.20999,0.19819,0.1819,0.19674,0.18221,-249.64,NaN,0.2355,0.28364,0.26314,0.26638,0.23888,0.24686,NaN,0.22482,NaN,0.23151,0.21393
NaN,0.1539,0.19829,-499.42,0.18438,0.18851,0.19178,0.21312,-249.6,0.21041,0.18827,0.16176,NaN,0.2474,0.24466,0.19957,0.23271,0.1936,0.19798,0.23797,0.2256,0.17495,0.20469,0.1741
-249.62,0.15839,0.20756,0.20552,0.18762,0.19059,0.19067,-249.62,NaN,0.1956,-249.62,0.19937,0.18974,NaN,-249.63,0.17365,0.15835,0.1621,0.21784,0.155,0.13668,-249.65,0.11964,0.151
0.21341,0.15632,0.1864,NaN,0.18348,0.18542,0.18548,-249.62,0.20928,0.27728,0.22875,0.21966,0.20192,-249.61,NaN,0.1737,NaN,0.12308,0.20431,-249.64,0.12201,NaN,0.21616,-249.65
0.17993,0.1512,0.18012,0.17781,0.17684,0.17842,0.17787,0.25905,0.20145,0.20229,0.19825,-249.62,0.25018,0.28746,0.16015,0.22838,0.16563,NaN,0.19172,-249.63,-249.65,0.19874,0.16031,0.16408
0.17971,0.14624,0.17301,0.17075,0.17171,0.21846,0.17264,-249.63,0.17614,NaN,0.19917,0.18578,0.19444,0.21241,0.22169,0.18436,0.17743,0.14558,0.17982,0.1661,0.18182,0.30155,0.17651,0.20147
0.17331,0.14135,0.16707,0.16467,0.16641,0.16718,0.16797,0.17067,-249.63,0.19419,-249.63,-249.62,0.18535,-499.27,-249.62,0.19767,0.19557,0.17335,0.18148,0.18371,0.18439,0.20348,0.25588,0.17535
0.16878,0.13781,0.16344,-249.62,0.16232,0.16389,0.16449,0.16994,0.23895,0.20551,-249.61,0.17838,0.1808,0.19598,0.20436,0.19707,0.18908,0.24356,NaN,NaN,0.18526,0.20283,0.17885,0.17391
0.1623,0.13402,0.15838,0.15833,0.15807,0.1594,0.1593,0.21303,0.23649,0.17977,-249.64,0.17183,0.17349,NaN,0.19779,0.24887,0.18516,0.15094,0.19941,-249.61,0.17727,0.14265,0.17378,0.16676
0.21208,0.13221,0.15563,0.15486,0.1283,0.17576,0.15559,0.15606,0.15409,0.15775,0.17572,0.17562,0.16879,0.18999,0.31318,-249.63,0.17937,0.17849,0.17982,0.18572,0.17348,-249.61,NaN,NaN
0.15625,0.12946,0.15278,0.15122,0.12458,0.20278,0.15257,0.15164,NaN,0.15293,0.15795,NaN,0.16516,0.18811,0.18559,0.18416,0.17427,0.17194,0.20938,-249.63,0.16762,0.16591,0.1638,NaN
0.15429,0.12839,0.16417,0.14954,0.12322,0.1589,0.15245,0.14877,NaN,0.15212,0.15474,0.15908,0.16342,0.17749,0.18503,0.17214,-249.63,0.18615,0.17173,0.16755,0.16627,0.16547,0.18122,NaN
NaN,0.1268,0.14966,0.14725,0.1215,0.14798,0.14801,0.14637,0.14875,0.20154,0.16294,0.15434,0.16316,0.16297,0.1826,0.16838,NaN,0.21952,0.16999,0.16718,0.16153,0.16179,0.16161,NaN
-249.63,0.12583,0.14823,0.14594,0.12166,0.14651,0.16187,0.14616,0.14828,0.14926,0.1527,0.15427,-249.64,-249.64,0.29069,0.16756,0.16837,0.16637,0.16762,0.16377,0.16445,0.24721,0.15778,NaN
0.15127,0.12526,0.14689,0.14438,0.12165,0.14526,0.14613,0.14709,0.14733,0.14832,0.15226,0.15616,-249.62,0.16229,0.18052,0.16508,0.16733,0.17799,0.16725,0.161,0.16037,NaN,0.15485,NaN
0.14998,0.12376,0.14463,0.14293,0.12035,0.14343,0.2032,0.12379,0.14702,-249.65,0.15117,0.15444,0.18957,0.16039,0.17962,0.20936,0.19962,0.16523,0.15083,0.16007,0.16152,0.1601,NaN,NaN
0.14989,0.12287,0.17712,0.17452,0.11996,0.14093,0.22841,0.14487,0.14602,0.1488,0.14971,0.15247,0.1579,-249.64,0.19358,0.16363,0.16331,0.1618,0.16072,0.15958,0.15074,0.15761,0.15394,NaN
0.14878,0.12085,0.1422,0.14087,0.11808,0.1414,NaN,0.1362,0.14415,0.14703,0.13768,0.15142,0.14323,0.15983,0.21439,0.14024,0.15938,0.1604,0.15963,0.15785,NaN,0.15516,0.15277,-249.63
0.1461,0.11911,0.14187,0.13943,0.13978,0.13887,0.13934,0.14282,0.14303,0.15629,0.14728,0.15073,0.15576,0.17051,-249.64,0.15587,0.15808,0.1569,0.15824,0.15638,0.15474,0.15123,0.15082,NaN
0.14788,0.1184,0.14019,0.13788,0.13711,0.13805,0.13953,0.14251,-249.65,0.14295,0.14575,0.14872,0.14794,0.13609,0.15555,0.15615,NaN,0.15932,0.1577,0.15243,0.15191,0.20003,0.14944,NaN
NaN,0.11729,0.16419,0.14045,0.13625,0.13678,0.13928,0.13612,-249.61,0.13892,0.14478,0.1455,0.14788,0.1509,0.1547,0.13606,NaN,0.15334,0.15496,-249.6,0.12945,0.14894,0.1477,0.14124
-249.65,0.11576,0.13655,0.1334,0.13423,NaN,0.13879,0.13759,NaN,0.13738,0.14193,0.14332,0.14564,0.14883,0.15103,0.1521,0.15744,0.15117,0.1651,0.14694,0.14795,0.15068,0.1453,0.1597
0.13835,0.11456,0.13545,0.13387,0.13287,0.13336,0.13617,0.13523,0.13778,0.13631,0.14121,-249.65,0.14765,-249.65,0.14765,0.14796,0.14554,-249.65,0.13505,0.14511,0.14547,-249.65,0.14401,NaN
0.11898,0.12811,0.12391,0.10511,0.12228,0.11854,0.11861,0.11454,0.12067,0.11368,0.10992,0.12178,0.11425,0.13966,0.1304,0.13519,0.15733,0.13998,0.15239,NaN,NaN,0.13295,NaN,0.13608
0.13127,0.12825,0.12687,0.10512,0.12445,0.12731,-249.66,0.10875,0.12557,0.11042,0.11047,0.13598,0.11328,0.11681,0.13997,0.14163,0.14308,0.14231,0.14238,0.1377,0.13776,NaN,0.13164,0.1335
0.2006,0.13275,0.12476,0.10532,0.12432,0.12526,0.12413,0.10643,0.1246,0.10814,0.11079,0.13369,0.11248,0.13895,0.13882,0.13915,0.14075,0.14174,NaN,0.13735,0.13529,-249.66,0.12039,NaN
0.13076,0.12642,0.1255,0.10293,0.124,0.12576,0.12536,0.10558,0.12665,0.10711,0.10907,0.1333,0.11301,0.13925,0.1394,0.13895,0.21111,0.14076,-249.65,0.13834,0.13848,NaN,NaN,NaN
0.13071,0.10643,0.12554,0.10275,0.12322,-249.66,0.18385,0.12872,0.14173,0.10734,0.11027,0.20344,NaN,0.13847,0.13841,NaN,0.13944,0.14318,0.13937,-249.65,0.21944,NaN,0.13347,0.1327
0.12902,0.10573,0.1254,0.10258,0.1216,0.15704,0.12488,0.10542,0.12464,0.10653,0.10756,0.1457,0.11244,0.15119,0.11461,0.13875,0.13955,0.13972,NaN,0.13561,0.19658,NaN,0.12942,0.11402
0.12741,0.10544,0.12512,0.13343,0.12064,0.10276,0.12374,0.15869,0.20212,0.10465,0.10641,0.13017,0.10963,0.17566,0.14024,0.13631,-249.65,NaN,0.13313,0.13244,0.17316,NaN,0.12763,0.10649
0.12418,0.1025,0.12134,0.10459,0.11881,0.10009,0.12111,0.12028,-249.66,0.10148,0.10478,0.12615,NaN,0.10923,0.132,0.13233,0.13313,NaN,0.13043,0.12852,NaN,0.12824,0.12645,NaN
0.12259,0.10141,0.12058,0.099698,0.11866,0.098318,0.16103,0.11834,0.10106,0.12044,0.1012,0.16351,NaN,0.13043,0.1298,0.17162,NaN,NaN,NaN,0.1914,NaN,0.12671,0.12496,NaN
0.12098,0.1001,0.1594,0.098453,0.11741,0.097687,0.11956,0.11807,0.1198,0.12039,0.10075,0.17371,0.12441,0.1276,0.12767,0.17977,0.18289,NaN,NaN,0.20973,NaN,0.12552,-249.67,NaN
0.11911,0.098456,0.11663,0.098458,0.11573,0.09669,0.11756,0.11778,0.1184,0.11868,0.10157,0.12318,NaN,0.10367,0.12632,0.10735,0.20595,0.12601,NaN,0.12518,NaN,NaN,0.091796,-249.67
0.11813,0.097423,0.11676,0.098322,0.11539,0.097296,0.11658,0.11804,0.17964,0.11849,0.099455,0.12358,0.10331,0.10471,0.1261,0.10897,0.1264,0.12838,NaN,0.12534,0.1262,NaN,NaN,-249.67
0.11746,0.096881,0.097105,0.098444,0.11442,0.095781,0.11475,0.11618,0.11697,0.18527,0.096383,0.12262,0.1013,0.10435,0.12476,0.12531,NaN,0.12633,NaN,0.12133,NaN,NaN,0.11667,-249.67
0.11643,0.096121,0.094598,0.18372,0.1134,0.094927,0.11261,0.1151,0.11469,0.11601,0.093989,0.11886,0.10047,0.10239,0.10077,0.10497,-249.66,0.12445,NaN,0.18983,NaN,NaN,NaN,NaN
0.11782,0.096123,0.095568,NaN,0.094528,0.095344,0.11237,0.095497,0.11505,0.15729,0.095676,0.18228,NaN,0.10188,0.1637,0.1046,-249.67,0.12449,0.12736,0.12078,0.124,0.10234,NaN,-249.6
0.11593,0.095528,0.094119,NaN,0.091894,0.093046,0.18584,0.1139,0.11289,0.11415,0.094418,0.11796,0.14712,0.19416,0.10129,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-249.6
0.11572,0.095777,0.09403,NaN,0.091819,0.092051,0.092206,0.094743,0.11389,NaN,0.095996,0.18948,NaN,0.13111,0.12074,0.11909,NaN,NaN,NaN,NaN,NaN,NaN,0.10413,-249.67
0.11517,0.095598,0.092945,0.11092,0.090409,0.089469,0.091533,0.093159,0.11364,0.11379,0.099048,0.11669,-249.68,0.098971,0.10367,0.11893,0.12112,NaN,NaN,NaN,0.11812,NaN,NaN,NaN
0.11406,0.094288,0.091325,-249.67,0.091006,0.088705,0.090328,0.12091,0.11605,0.1131,0.094645,0.11445,0.11706,0.098906,0.11759,0.10521,NaN,NaN,NaN,NaN,0.11533,NaN,NaN,NaN
0.15079,0.092205,0.13259,-249.68,NaN,0.087578,0.15742,0.090012,0.10796,0.11082,0.13116,0.11223,0.14009,0.097688,0.12881,0.11708,0.13475,NaN,NaN,0.11585,0.11418,0.12157,0.097087,-249.67
0.11233,0.091597,0.091426,-249.68,0.089987,0.088446,0.12681,0.1508,0.093577,0.10699,0.091003,0.11375,NaN,0.095099,0.11536,-249.67,0.11658,NaN,NaN,NaN,0.092089,NaN,NaN,-249.67
0.12162,0.091649,0.09154,0.10723,0.090449,0.12785,0.088105,0.09008,0.15229,0.091382,0.14305,0.11526,NaN,0.095666,0.11612,0.15618,0.15934,NaN,NaN,0.11907,-249.67,NaN,NaN,0.093789
0.11305,0.091413,0.1986,0.10698,0.092101,0.11056,0.15478,0.091973,0.11278,0.10962,0.091141,0.11514,NaN,0.094628,0.13561,0.098128,0.097486,NaN,NaN,NaN,NaN,0.094986,NaN,0.092586
0.11119,0.091418,0.090453,0.10882,0.090283,0.10686,0.08786,0.089876,0.11078,0.090919,0.089462,0.11017,NaN,0.097345,0.11723,0.11695,0.12268,NaN,NaN,NaN,NaN,NaN,NaN,-249.68
0.10954,0.090245,NaN,0.10715,-249.68,0.10872,0.087637,0.089615,0.15086,0.13168,0.089799,0.1099,NaN,0.095094,0.11512,0.11464,0.095787,NaN,NaN,NaN,NaN,NaN,NaN,0.08557
0.10751,0.089979,0.089061,0.10592,0.087645,0.10526,0.086631,0.088919,0.1057,0.089232,0.089528,0.088958,NaN,0.1643,0.11245,NaN,-249.68,NaN,NaN,NaN,NaN,NaN,NaN,0.080625
0.10705,0.08924,0.08956,0.10576,0.087592,0.10721,0.086545,0.088109,0.14109,-249.68,0.092136,0.10022,0.092993,NaN,0.11264,0.095664,NaN,NaN,NaN,NaN,NaN,NaN,-249.68,-249.68
0.11951,0.088057,-249.69,0.11568,0.085982,0.15264,0.088413,0.088998,0.10874,0.088136,0.18712,0.088106,-249.68,0.10402,0.1123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.082719,-249.61
0.15952,0.088583,0.087053,0.10453,0.17624,0.10382,0.08766,0.087184,0.10934,0.089404,0.092909,NaN,0.13926,NaN,NaN,NaN,NaN,NaN,NaN,0.089999,NaN,-249.68,0.14032,0.091196
0.26591,0.11676,0.084665,0.088381,0.085059,0.083954,0.09998,0.085769,0.10487,0.12201,0.098198,NaN,NaN,NaN,NaN,NaN,NaN,0.2681,-249.67,0.1056,NaN,0.11243,0.10941,0.14056
0.10611,0.088184,0.08498,0.087481,0.086683,0.084613,0.08804,0.085111,0.10613,0.087413,0.089533,0.17529,NaN,0.1117,0.11095,NaN,NaN,0.15066,-249.62,0.091311,-249.68,0.11364,NaN,0.090612
0.19382,0.08768,0.1172,0.08504,0.086958,0.13614,0.087167,0.08572,0.10377,0.18003,0.086382,NaN,NaN,NaN,0.092566,NaN,0.09223,0.11285,-249.59,0.13051,NaN,0.089016,0.082683,-249.68
0.088274,0.086364,0.087389,0.16106,0.085964,NaN,0.088456,0.085343,0.14072,0.088129,NaN,NaN,NaN,NaN,NaN,0.093187,-249.68,0.17698,-249.59,0.093022,NaN,-249.68,0.11681,-249.68
0.10574,0.085081,0.11216,0.083256,0.085695,0.085337,0.086756,0.11187,0.2357,NaN,NaN,NaN,NaN,NaN,0.08994,0.091835,-249.68,-499.45,0.10691,0.092244,-249.68,-249.68,0.11234,-249.68
0.10401,0.085924,0.085518,0.12766,0.082633,0.12188,0.086636,0.083625,NaN,NaN,0.085211,NaN,-249.68,NaN,0.13086,0.088412,0.090418,-249.68,NaN,NaN,-249.68,-249.68,-249.6,0.1372
0.10707,0.08607,0.08623,0.085082,0.084316,0.085743,0.085915,NaN,NaN,NaN,0.085216,NaN,NaN,0.14939,0.089656,0.088133,-249.68,-249.68,NaN,-249.68,0.091764,-249.68,0.19053,0.094475
0.085248,0.084094,0.084955,0.084574,0.094657,0.084114,NaN,NaN,NaN,0.11304,NaN,NaN,NaN,0.10887,0.086781,0.08442,0.087059,-249.6,-249.68,-249.68,-249.68,0.083722,-249.68,0.087052
0.11634,0.084759,0.085629,0.085029,0.083208,NaN,NaN,0.085812,NaN,NaN,NaN,0.087339,-249.68,0.099845,0.089826,NaN,0.087325,-249.63,-249.63,-249.68,-249.68,-249.68,NaN,-249.68
0.083394,0.084832,0.083736,0.082476,NaN,NaN,0.11001,0.083937,0.08609,NaN,NaN,0.10427,-249.68,NaN,0.089205,0.090873,0.084554,-249.68,-249.65,-249.68,NaN,-249.68,-249.68,0.11925
0.081275,0.08319,NaN,NaN,0.080472,0.080876,NaN,0.081586,NaN,NaN,NaN,NaN,0.077082,0.088607,0.085483,0.16307,0.15877,NaN,NaN,0.085948,0.086249,-249.68,0.19154,0.10469
0.083284,0.082924,NaN,0.085442,0.08155,NaN,0.081767,NaN,0.084315,0.083263,0.083875,-249.62,NaN,-249.64,0.14388,0.088801,0.081736,-249.68,-249.64,-249.68,0.082171,-249.68,-249.68,0.13968
0.082435,NaN,NaN,NaN,0.08171,0.081264,NaN,0.079199,0.084008,0.081464,0.082957,-249.68,0.10192,0.085995,0.12189,-249.68,0.1174,-249.63,NaN,0.087871,0.080819,0.22293,NaN,-249.68
NaN,0.084028,-249.68,0.081137,0.078996,NaN,0.083782,0.077252,0.083117,NaN,0.08278,0.21752,-249.68,NaN,0.081631,0.08673,0.080853,-249.68,-249.61,-249.68,0.083538,-249.68,0.081463,-249.68
